,Name,Absolute URL,Category,Description
37, Fabrick Platform Utils ,https://www.programmableweb.com/api/fabrick-platform-utils-rest-api-v40, Financial, This Platform Utils API enables users to retrieve the complete list of values for the specified enumeration and retrieve the description of the specified enumeration value. The Fabric Platform exposes RESTful web APIs that are provided by an independent company that has joined the Fabrick ecosystem and has chosen to expose its services on the Fabrick Platform. API requests must be sent using HTTP protocols with an API Key and Token used for authentication. The Fabrick Platform is an open financial ecosystem with APIs for building financial applications.
38, bio.tools,https://www.programmableweb.com/api/biotools-rest-api, Science," bio.tools offers access to scientific information associated with tools, databases, and services for bioinformatics. The API supports comprehensive resources for the study of genes and heredity such as genotyping, gene expression, transcription factors, and DNA polymorphism. This information is available in JSON format."
39, Cucumber ,https://www.programmableweb.com/api/cucumber-indirect-api, Testing," This is indirect access to this service, please refer to the corresponding SDK below. Cucumber provides tools and techniques to combine training and consulting for engineering teams to test business-readable specifications on any modern development stack."
40, Selenium WebDriver,https://www.programmableweb.com/api/selenium-webdriver-nativebrowser-api-v20, Browsers," The Selenium WebDriver API provides browser automation tools to drive a browser natively, either locally or on a remote machine using the Selenium Server. It enables access to a programming interface that addresses limitations in the Selenium-RC service, support dynamic web pages, supply a object-oriented API and more. The Selenium WebDriver is a compact Object Oriented API to automate web applications and provides support for modern advanced web-app testing solutions. Selenium is a browser automation tool to; automate web-based administration tasks, automate web applications for testing purposes, and more"
41, Zenkit,https://www.programmableweb.com/api/zenkit-rest-api-v10, Project Management," This API provides a way to interact with Zenkit online project management services, and allows you to integrate these capabilities into your applications or utilities. API methods are available to Search the user's activities, Search workspace activities, Create workspace comment activity for the user, Update a workspace activity and more. You will need to authentication via API key and OAuth 2.0 authorization using a Token. Zenkit is a project management platform that provides tools to bring together Customers, Documents, Invoices, Bugs, Features, Leads and more."
42, Makesweat ,https://www.programmableweb.com/api/makesweat-rest-api-v10, Fitness," The Makesweat API provides access to an online personalized fitness training and sports class platform. This includes services for booking, event administration, email, payments and more. Makesweat provides tools to get sports activities online for community sports clubs, professional fitness organization and more."
43, Android NDK Native,https://www.programmableweb.com/api/android-ndk-native-indirect-api, Tools," The Android NDK service allows developers to include native code in their Android application packages, that are compiled as JNI shared libraries. It is a set of tools that allows you to use C and C++ code with Android. It enables platform libraries with the ability to manage native activities and access physical device components, such as sensors and touch input. The API features tools for Asset, Audio, Bitmap, Camera, Choreographer, Configuration, Dynamic Linker and more.Please note: This provides indirect access to this service. Please refer to the corresponding SDK, below.
Android developers provides tools for Android handsets, Wearable OS by Google, Android TV, Android Auto, or Android Things."
44, Android Neural Networks,https://www.programmableweb.com/api/android-neural-networks-indirect-api, Mobile," The Android Neural Networks service is an Android C API that allows you to run computational operations for machine learning on mobile devices. It enables you with the ability to access a base layer of functionality for high level machine learning frameworks that build and train neural networks including; TensorFlow Lite, Caffe2 and more. Android developers provides tools for Android handsets, Wearable OS by Google, Android TV, Android Auto, or Android Things."
45, Google Firebase ML Kit,https://www.programmableweb.com/api/google-firebase-ml-kit-indirect-api, Tools," This is indirect access to this service, please refer to the corresponding SDK below. The ML Kit API is a Google service that provides access to machine learning capabilities that integrate into your applications. It is cloud-based processing, real-time capabilities of mobile-optimized on-device models, and custom TensorFlow Lite models that includes API’s for; Text recognition, Face detection, Barcode scanning, Image labeling and more. Firebase provides tools to develop applications for monetizing your business and focus on users."
46, Hide URI,https://www.programmableweb.com/api/hide-uri-rest-api-v1, URL Shortener, Hide URI adds URL shortener capabilities to applications. The REST API returns JSON objects containing the shortened URLs.
47, Contentful GraphQL Content,https://www.programmableweb.com/api/contentful-graphql-content-graphql-api-v10, Content Management," The GraphQL Content API provides an interface to consume both published and non published content from Contentful. The GraphQL Content API allows you to create and manage content, that supports the Content Delivery API and the Content Preview API and is a fully functional equivalent to the REST implementation. Contentful provides content management system services for mobile and web application publishers."
48, HTML/CSS to Image,https://www.programmableweb.com/api/htmlcss-to-image-rest-api-v10, Images," Generate images from code. Simple API to convert HTML to an image. Renders images exactly like Google Chrome. Supports modern CSS3, HTML5, emoji's, custom fonts, gradients, drop shadows and more. Image resizing and transparent pngs."
49, Threat Intelligence SSL Certificates Chain,https://www.programmableweb.com/api/threat-intelligence-ssl-certificates-chain-rest-api-v10, Domains," The SSL Certificates Chain API by Threat Intelligence Platform allows developers to get detailed information about a domain's SSL Certificate and its complete SSL Certificates chain. The data is provided in a unified and consistent JSON format and can be easily integrated with other systems. Points that can be gathered through the API for each SSL certificate include the position in the certificates chain, common name, validation types, and more. Said data is useful to learn more about the authenticity of a domain and the domains connected to it."
50, WhoisXML Whois History,https://www.programmableweb.com/api/whoisxml-whois-history-rest-api-v10, Domains," The Whois XML History API allows developers to gather the history of a domain name's ownership. It has a coverage of 7.0+ billion historical WHOIS records and close to 600 million domains tracked across 2.864+ TLDs. Historical WHOIS data can be useful to identify an attacker's footprints, uncover previous domain owners, and do in-depth research on a domain's past to avoid potential liabilities. It can also be used in marketing to avoid any undesirable connotations when buying a previously-registered domain."
51, WhoisXML IP Netblocks,https://www.programmableweb.com/api/whoisxml-ip-netblocks-rest-api-v10, Domains," The Whois XML IP Netblocks API allows developers to get detailed information about the IP range to which a particular IP belongs to; along with related relevant information including its IP netblock borders, last update, country code, organization name, abuse history, admin and tech contact information, and ASN (Autonomous System Number). The service has coverage of 9.1+ million IP netblocks, 48.000+ ranges updated daily, and 65.000+ of unique ASNs. The data can be used for cybersecurity (i.e., cyber forensic analysis, SIEM data enrichment, threat defense, threat hunting) and a variety of IT and marketing purposes (i.e., network filtering and DRM, brand protection, business intelligence)."
52, TazWorks CreditConnect ,https://www.programmableweb.com/api/tazworks-creditconnect-rest-api-v10, Tools," The TazWorks CreditConnect API provides a RESTfull interface to interact with and gain access to Experian credit reports. This includes JSON formatted data for; Resellers, Users, Background results and more. To obtain an API Key and set up an account, it is required that you provide the IP Addresses that will be accessing the CreditConnect API, as it utilizes IP Address Whitelisting and HTTP Basic Authentication. CreditConnect provides hosted solutions with the tools to add Experian Connect capabilities to existing platforms. TazWorks is background screening software for employment, tenant, drug screening and more."
53, Fun Generators Lottery Numbers,https://www.programmableweb.com/api/fun-generators-lottery-numbers-rest-api, Games," The Fun Generators Lottery API provides access to a lottery generator to integrate into your websites or applications. It allows you to generate random lottery numbers from many games globally. It is a REST based service to Generate random draw for a given lottery game, Get a list of countries and a list of supported lottery games. Fun Generators supports access to a full set of generators to integrate into your workflow, website or application."
54, Smartwaiver Webhooks,https://www.programmableweb.com/api/smartwaiver-webhooks-pushstreaming-api-v4, Tools," Smartwaiver Webhooks enables real-time HTTP POST notifications after a smart waiver is submitted. Requests are limited to 100 per minute. The API requires API keys for authentication. Smartwaiver provides customized digital waiver services with features including waiver editor, auto photo-capture, and unlimited templates."
55, beestat.io,https://www.programmableweb.com/api/beestatio-unspecified-api, Home Automation," Beestat is a free tool that helps you view and analyze your home HVAC usage and efficiency. The Beestat API is available to integrate with the service and enable apps to do tasks such as 'retrieve aggregate runtime data for the past month grouped by day', 'get a list of thermostats', etc. Full documentation is not available yet. Developers need to contact the beestat.io provider at: contact@beestat.io for more information."
56, Spotware Connect cTrader Open,https://www.programmableweb.com/api/spotware-connect-ctrader-open-rpc-api-v20, Financial," The Spotware 2.0 Open API is a Protocol Buffer based service that allows third-party service providers with the ability to integrate tools and applications for trading and analysis. This service provides access to the Spotware platform for data and functionality that includes all the required cTID data, market data and all possible trading operations on behalf of other cTrader users. It is designed to use protocol buffers to retrieve accounts information, market data, and trading data. This open API has no restrictions and it is supported by cTrader broker trading. cTrader provides Forex platforms for traders that is developed by Spotware Systems."
57, UnFound Adaptive Text Summarization,https://www.programmableweb.com/api/unfound-adaptive-text-summarization-rest-api-v10, Summary," The UnFound Adaptive Text Summarization API allows you to quickly summarize a piece of text, an article, or a webpage (by URL) by extracting the most important sentences that best capture the meaning of the entire text. You can specify the number of sentences up to which the given content must be summarized.
This API can be used API to generate the following types of summaries as per their use-cases:General-purpose SummaryGiven an input text or URL, the API provides an extractive-summary of the text returning Top-N sentences that best represent the entire text or URL.News SummaryNews content is often different from general purpose content via an algorithm to focused on news style content when you use this parameter.Diversified SummarySometimes a text says more than one type of thing. The diversified-summary picks out the all distinct sentences as a summary.
The API can take any type of text as input and will perform best on URLs corresponding to news, blog, content, etc. There are several tiers of plan usage available.
UnFound is an intelligent news insights app that helps you consume news that matters. They provide a diverse perspective to news and also give appropriate context, with the aim of eliminating the epidemic of biased misinformation."
58, UnFound Relevant Wikipedia Pages,https://www.programmableweb.com/api/unfound-relevant-wikipedia-pages-rest-api-v10, Extraction," The UnFound Relevant Wikipedia Pages API can extract important topics from any given text or URL and suggests all relevant Wikipedia Pages related to those topics. By presenting these suggested Wikipedia Articles, it can present users with opportunities to discover new facts about the given text, explore related concepts and understand the meanings of terms used in the original text.
The API can be used it in your application or product for a recommendation system, personalization, semantic analysis, etc. It can take any type of text as input and will perform best on URLs corresponding to news, blog, content, and more. There are several tiers of plan usage available.
UnFound is an intelligent news insights app that helps you consume news that matters. They provide a diverse perspective to news and also give appropriate context, with the aim of eliminating the epidemic of biased misinformation."
59, Sumo Logic Search Job ,https://www.programmableweb.com/api/sumo-logic-search-job-rest-api-v1, Tools," The Sumo Logic Search Job API for enterprise accounts searches jobs by ID. Developers can poll statuses and gather results. They can use JSON format and key/access ID authentication. Sumo Logic provides log management, DevSecOps, and continuous intelligence services."
60, Sumo Logic Collector Management ,https://www.programmableweb.com/api/sumo-logic-collector-management-rest-api-v1, Tools," The Sumo Logic Collector Management API manages Collectors and Sources from an HTTP endpoint. Developers use JSON formats to make callbacks and bearer token to authenticate. Sumo Logic provides log management, DevSecOps, and continuous intelligence services."
61, Everything Fonts font-face generation,https://www.programmableweb.com/api/everything-fonts-font-face-generation-rest-api, Fonts," The Everything Fonts font-face generation API returns data with online fonts that developers can integrate into web pages. With the API, developers can generate CSS rules and font files compatible with all browsers. Everything Fonts supports TTF, EOT, WOFF, SVG, and CSS files."
62, Fun Generators QR Code,https://www.programmableweb.com/api/fun-generators-qr-code-rest-api-v10, Social," This API allows you to Generate QR Code images for text, url, email, business cards and more. It is a complete REST based API to generate or read QR codes that enables you to decode QR Code images with its contents. The Fungenerators API provides access to a full set of generators that is available at fungenerators.com."
63, ORY Hydra,https://www.programmableweb.com/api/ory-hydra-rest-api, Authorization," The ORY Hydra API provides access to an ORY Cloud Native OAuth 2.0 and OpenID Connect Server. This service provides developers with features that includes; JSON Web Keys Discovery, OpenID Connect Discovery, Revoke OAuth2 tokens and more. ORY Hydra is an OAuth 2.0 and OpenID Connect provider that allows you to issue access, refresh, and ID Tokens. It uses redirection and a REST API to delegate user authentication to a service. ORY Hydra offers storage for cryptographic keys and is capable of managing OAuth 2.0 Clients. It is an is a certified OAuth2 and OpenID Connect server that is optimized for low-latency, high throughput, and low resource consumption. ORY provides services that adopt OAuth 2.0 for the development of APIs and web services. This may include third party access, authorized mobile apps or IoT devices, or multi-server environments."
64, ORY Keto,https://www.programmableweb.com/api/ory-keto-rest-api, Cloud," The ORY Keto API stores permissions and answers if an identity is allowed to perform a certain action over a Rest API. This service provides developers with features that includes; if a certain user is allowed, if a robot is allowed, multi tenant environments, permissions and more. Keto allows you to run security critical open source technology in a self-service format. It is a cloud native access control server providing best-practice patterns via REST API. ORY provides services that adopt OAuth 2.0 for the development of APIs and web services. This may include third party access, authorized mobile apps or IoT devices, or multi-server environments."
65, AWS Cloud9,https://www.programmableweb.com/api/aws-cloud9-rest-api, Tools," The AWS Cloud9 service is a cloud-based integrated development environment (IDE) that you use to write, run, and debug code. This API is a collection of tools that developers can use to release software in the cloud. It allows you to create an AWS Cloud9 development environment, add an environment member, delete an environment and support operations for ; CreateEnvironmentEC2, CreateEnvironmentMembership, DeleteEnvironment and more. Amazon Web Services provides Cloud computing that delivers database storage, applications, and other IT resources through a cloud services platform via the internet with pay-as-you-go pricing."
66, geoPlugin IP Geolocation JavaScript,https://www.programmableweb.com/api/geoplugin-ip-geolocation-javascript-indirect-api, Tools," This API is indirect access to geoplugin.com. Please refer to the corresponding SDK below. It is a website for the geoplugin.net API that allows users to lookup the location of an IP address or perform currency conversion. The webservice provides free usage of its geolocation API and automatically supports IPv4/IPv6 queries. The API allows users to supply an IP address or latlon values. By providing no input, the requesting IP address will be used.
IP geolocation data returned includes country, region/state, city, zip code, latitude, longitude etc.
Reverse geocoding can be performed by providing IP or lat/lon values to find nearby places, transport hubs etc in the ""extras"" category.
The API uses RESTful calls and responses can be formatted in PHP, XML, JSON, CSV, Javascript."
67, Squarelink Webhooks,https://www.programmableweb.com/api/squarelink-webhooks-pushstreaming-api, Blockchain," The Squarelink Webhooks API allows you to receive updates about user transactions. This requires that you set the Webhooks Callback URL in your registered token's settings in the Developer Console. Squarelink will send a POST request to the specified Callback URL with information about a transaction once it's confirmed. The data returned in the callback complies with the Transaction Model that is defined in the API Reference. Squarelink is an access tool for blockchain applications and services that allows users to securely recover private keys. It provides a way for users to sign up, sign in, and sign transactions, using an email and password without a server ever touching a private key."
68, Squarelink OAuth,https://www.programmableweb.com/api/squarelink-oauth-rest-api, Blockchain," The Squarelink OAuth API allows you to authenticate users and access info about their Squarelink accounts. It will return an access token as a URL parameter called access_token in the redirect back to your application. Squarelink is an access tool for blockchain applications and services that allows users to securely recover private keys. It provides a way for users to sign up, sign in, and sign transactions, using an email and password without a server ever touching a private key."
69, Squarelink,https://www.programmableweb.com/api/squarelink-rest-api-v10, Blockchain," The Squarelink API offers standard OAuth 2.0 ""Sign In"" integrations along with a REST API for interacting with Squarelink user accounts. Squarelink's API allows developers to interact with Squarelink user accounts that include; wallet information, personal information, and transaction data. Squarelink is an access tool for blockchain applications and services that allows users to securely recover private keys. It provides a way for users to sign up, sign in, and sign transactions, using an email and password without a server ever touching a private key."
70, Google Firebase Management,https://www.programmableweb.com/api/google-firebase-management-rest-api-v10, Tools," The Google Firebase Management API allows you to programmatically manage Firebase projects. This includes Firebase project resources and applications. Firebase projects are Google Cloud Platform entities that are containers for ACLs, APIs, App Engine Apps, VMs, and other Google Cloud Platform resources. The Cloud Resource Manager API is built on HTTP and JSON which allows standard HTTP clients to send requests and parse responses. Firebase provides tools to develop applications for monetizing your business and focus on users."
71, GA4GH htsget ,https://www.programmableweb.com/api/ga4gh-htsget-rest-api, Data," The GA4GH htsget API is a genomic data retrieval specification that allows users to download and read data for subsections of the genome in which they are interested. This data retrieval tool bridges existing genomics bulk data transfers to a client-server with some features that includes: Incumbent data formats, Multiple server implementations, Multiple use cases and more. The Global Alliance for Genomics and Health is an international coalition, formed to enable the sharing of genomic and clinical data."
72, Google Sheets,https://www.programmableweb.com/api/google-sheets-rest-api-v4, Spreadsheets," The Google Sheets API allows developers to read, write, and format data in Google Sheets. Users can build pivot tables, enforce cell validation, set frozen rows, adjust column sizes, apply formulas, create charts, and more. The API offers full control over the content and appearance of spreadsheet data. Quickstart guides are provided in many common programming languages"
73, ip-to-geolocation,https://www.programmableweb.com/api/ip-to-geolocation-rest-api-v10, Location," IP Addresses Geolocation | Get your Free API Key.
The ip-to-geolocation API allows developers to perform geolocation based on an IP address.
This API is compatible with IPv4 and IPv6 addresses.
Each request returns the city, country, country code, ISP, latitude, longitude, timezone, zip code, and more in one of several output formats.
Developers can issue up to 10,000 requests per month for free."
74, Dilli Email Validation,https://www.programmableweb.com/api/dilli-email-validation-rest-api-v1000, Email," Dilli Email Validation API (DEVA) is a simple REST API for verifying email addresses. It returns 'true' if given email address is valid, 'false' otherwise. Factors used to determine validity of an email address includes format validation, ESP (Email Service Provider) grammar rules, MX records existence, check for disposable email address, check for role-based email address, check for known malicious email address and check for profanity. Out of the box integration with Wordpress using 'Dilli Email Validator' plugin and with Node.js using 'dilli-email-validation' node package."
